cardid	name	type	faction	setcode	setname	no	rules	rarity	def	cost	strikecost	atk	dmgtype	health	all_classes	DeathKnight	Druid	Hunter	Mage	Paladin	Priest	Rogue	Shaman	Warlock	Warrior	instant	race	class	class2	subtype	subtype2	subtype3	subtype4	profession	profession2	block	image	reprinted	classdeck	version	artist	flavour	original	released
3260	Marlowe the Felsworn	Hero	Alliance	SoB	Servants of the Betrayer	13	2, Flip Marlow, destroy a friendly ally -> Target hero or ally has -X health this turn, where X is that friendly ally's health. Use only on your turn.; Cult of the Dark Strand	u						28	None												Human	Warlock		Traitor				Alchemy	Enchanting	2	marlowe_the_felsworn			0	Alex Horley		0	1
3261	Marta Spires	Hero	Alliance	HfI	Hunt For Illidan	7	6, Flip Marta -> Put target ally card from your graveyard into play if its cost is less than or equal to the number of resources you have. Use only on your turn.	u						26	None												Human	Priest		Holy				Herbalism	Enchanting	2	marta_spires			0	Ittoku Seta	"Postpone the funeral."	0	1
3262	Martiana the Mindwrench	Hero	Alliance	DoW	Drums Of War	3	1, Flip Martiana -> Target player discards a card if he already discarded a card this turn.	u						26	None												Dwarf	Priest		Shadow				Engineering	Jewelcrafting	3	martiana_the_mindwrench	Naxxramas Treasure		0	Aleksi Briclot	"I'll come for ye at your darkest hour."	0	1
3263	Mazar	Hero	Alliance	FoO	Fires of Outland	4	3, Flip Mazar, remove a Pet card in your graveyard from the game -> Destroy target ally. Use only on your turn.	u						28	None												Gnome	Warlock		Destruction				Engineering	Jewelcrafting	1	mazar			0	Dan Scott	"Many authorities on fel magic have thoroughly calculated that it will ultimately consume all who attempt to master it. Until that day arrives, though - woohoo!"	0	1
3264	Meganna the Stalker	Hero	Alliance	FoH	Fields of Honor	7	3, Flip Meganna -> This turn, heroes and allies in your party have <b>Stealth</b>, and they can attack <b>Elusive</b> heroes and allies.	u						27	None												Human	Rogue		Assassination				Herbalism	Skinning	3	meganna_the_stalker			0	Christopher Moeller		0	1
3265	Memri the Channeler	Hero	Alliance	MoL	March of the Legion	9	2, Flip Memri -> Memri deals 1 nature damage to target hero or ally for each Totem you have.	u						28	None												Draenei	Shaman		Elemental				Skinning	Leatherworking	2	memri_the_channeler			0	Volkan Baga		0	1
3266	Moala Stonebinder	Hero	Alliance	FoO	Fires of Outland	5	2, Flip Moala Stonebinder -> Your weapons can't be destroyed this turn.	u						28	None												Draenei	Shaman		Enhancement				Mining	Jewelcrafting	1	moala_stonebinder			0	Christopher Moeller	"The Broken have taught me that nothing is beyond saving."	0	1
3267	Mojo Master Zandum	Hero	Horde	WG	Wrathgate	16	Flip Zandum, discard a Priest -> Zandum heals 4 damage divided as you choose from any number of target heroes and/or allies.	u						26	None												Troll	Priest		Holy				Leatherworking	Skinning	4	mojo_master_zandum			0	Greg Staples		0	1
3268	Mojo Mender Ja'nah	Hero	Horde	TDP	Through the Dark Portal	15	2, Flip Mojo Mender Ja'nah -> Ja'nah heals all damage from target ally.	u						26	None												Troll	Priest		Holy				Jewelcrafting	Tailoring	1	mojo_mender_janah			0	JonBoy Meyers	"Everyone needs a helpin' hand. Mine's just a bit more powerful than others, mon."	0	1
3269	Mojo Shaper Ojo'mon	Hero	Horde	FoO	Fires of Outland	14	4, Mojo Shaper Ojo'mon -> Put an ally card with cost 2 or less from your graveyard into play. Use only on your turn.	u						28	None												Troll	Shaman		Restoration				Skinning	Leatherworking	1	mojo_shaper_ojomon			0	Aleksi Briclot	"Ojo got mojo to sho' joo."	0	1
3270	Moonshadow	Hero	Alliance	HoA	Heroes of Azeroth	6	3, Flip Moonshadow -> Shuffle your hand into your deck, then draw that many cards.	u						27	None												Night Elf	Druid		Restoration				Alchemy	Herbalism	1	moonshadow			0	rk post	Life, death, rebirth: all of nature is a cycle.	0	1
3271	Morganis Blackvein	Hero	Horde	TDP	Through the Dark Portal	16	4, Flip Morganis Blackvein -> Opponents can't draw cards this turn.	u						25	None												Undead	Mage		Frost				Enchanting	Tailoring	1	morganis_blackvein			0	Alex Horley	"I don't think you've thought things through completely. Allow me to correct that."	0	1
3272	Morn Salts-the-Land	Hero	Horde	SoB	Servants of the Betrayer	32	3, Flip Morn -> You can play target ability card from an opponent's graveyard this turn.; Grimtotem	u						29	None												Tauren	Hunter		Traitor				Herbalism	Alchemy	2	morn_salts_the_land			0	Clint Langley		0	1
3273	Morn Walks-the-Path	Hero	Horde	SoB	Servants of the Betrayer	23	3, Flip Morn -> You can play target ability card from your graveyard this turn.	u						29	None												Tauren	Hunter		Survival				Herbalism	Alchemy	2	morn_walks_the_path			0	Clint Langley	"I never let anything go to waste."	0	1
3274	Morova of the Sands	Hero	Horde	TDP	Through the Dark Portal	17	10, Flip Morova -> Morova deals 7 nature damage to target hero or ally.	u						28	None												Tauren	Druid		Balance				Skinning	Leatherworking	4	morova_of_the_sands	Class Starter Deck 2010	CD1	0	Todd Lockwood	The Cenarion Circle will not be content until balance has been restored to the land.	0	1
3275	Mother Misery	Hero	Neutral	HfI	Hunt For Illidan	22	<b>Sextuple Wield</b> <i>(Can have up to six hands of Melee weapons and strike with any number of them during the same combat.)</i>;;<b>Deckbuilding:</b> You can include only neutral quests and any Melee weapons. You can't include cards with reputation or text restrictions (like Fire Hero Required).	u						30	None												Shivan Demon									2	mother_misery	Archive		0	Glenn Rane	"The Legion is aware of you. That is why I am here."	0	1
3276	Mythen of the Fang	Hero	Alliance	SoB	Servants of the Betrayer	14	2, Flip Mythen -> Mythen deals 1 nature damage to target hero for each quest its controller has.; Druids of the Fang	u						27	None												Night Elf	Druid		Traitor				Skinning	Leatherworking	2	mythen_of_the_fang	Archive		0	Brandon Kitkouski		0	1
3277	Mythen of the Wild	Hero	Alliance	SoB	Servants of the Betrayer	5	2, Flip Mythen -> Mythen heals 2 damage from target hero or ally for each quest you have.	u						27	None												Night Elf	Druid		Restoration				Skinning	Leatherworking	4	mythen_of_the_wild	Class Starter Deck 2010	CD1	0	Brandon Kitkouski	"Naralex hoped to revitalize the Barrens. If only he hadn't become trapped in a nightmare!"	0	1
3278	Nathadan	Hero	Horde	FoO	Fires of Outland	15	3, Flip Nathadan -> If target ally in your party is defending, remove it from combat.	u						29	None												Blood Elf	Paladin		Protection				Mining	Blacksmithing	1	nathadan	Archive		0	James Zhang	"I do not serve the Light. The Light serves me."	0	1
3279	Nathressa Darkstrider	Hero	Alliance	TDP	Through the Dark Portal	3	1, Flip Nathressa Darkstrider -> Nathressa has <b>Stealth</b> this turn. <i>(Can't protect against her.)</i>	u						27	None												Night Elf	Rogue		Subtlety				Skinning	Leatherworking	1	nathressa_darkstrider			0	Dan Scott	"I don't squander my earnings on gowns or jewelry. Take it from me, such things only draw unwanted attention."	0	1
3280	Nicholas Merrick	Hero	Alliance	BoG	Blood Of Gladiators	8	On your turn: 3, Flip Nicholas -> Nicholas deals 2 fire damage to each opposing ally.	u						25	None												Human	Mage		Fire				Mining	Engineering	3	nicholas_merrick			0	Brandon Kitkouski		0	1
3281	Nimaasus the Implacable	Hero	Alliance	BCP	Burning Crusade	1	3, Flip Nimaasus -> Numaasus deals X holy damage to target ally, where X is the amount of damage that ally dealt to Nimaasus this turn.	r						29	None												Draenei	Paladin		Retribution				Mining	Jewelcrafting	1	nimaasus_the_implacable			0	Wei Wang		0	1
3282	Nuvon Dawnfury	Hero	Horde	WG	Wrathgate	17	On your turn: Flip Nuvon, discard a Mage -> When you draw a card this turn, Nuvon may deal 1 arcane damage to target ally.	u						25	None												Blood Elf	Mage		Arcane				Mining	Skinning	4	nuvon_dawnfury			0	Android		0	1
3283	Nylaith, Guardian of the Wild	Hero	Alliance	SW	ScourgeWar	6	If you control another Druid: Flip Nylaith -> Nylaith has <b>Protector</b> this turn.	u						27	None												Night Elf	Druid		Feral				Leatherworking	Jewelcrafting	4	nylaith_guardian_of_the_wild			0	James Ryman		0	1
3284	Oakenclaw	Hero	Alliance	DoW	Drums Of War	4	1, Flip Oakenclaw -> This turn, Oakenclaw is in bear form and has Form (1) until you strike with a weapon or play a non-Feral ability. <i>(Is a <b>Protector</b> while in bear form.)</i>	u						27	None												Night Elf	Druid		Feral				Alchemy	Engineering	4	oakenclaw	Naxxramas Treasure		0	Vance Kovacs	"My heart will beat forever with my forest's pulse."	0	1
3285	Obliveron	Hero	Neutral	HfI	Hunt For Illidan	23	You can have any number of Pets.;;<b>Deckbuilding:</b> You can include only neutral quests, any Traitor cards, and any Demon allies. You can't include cards with reputation or other text restrictions (like Fire Hero Required.)	u						25	None												Pit Lord Demon									2	obliveron	Archive		0	Alex Horley	"Cower, mortals, and know the meaning of despair!"	0	1
3286	Obora the Mad	Hero	Alliance	SoB	Servants of the Betrayer	15	2, Flip Obora -> When an opponent draws a card this turn, Obora deals 1 arcane damage to target hero or ally in that opponent's party.; Auchenai	u						25	None												Draenei	Mage		Traitor				Jewelcrafting	Tailoring	2	obora_the_mad			0	Howard Lyon		0	1
3287	Obora the Wise	Hero	Alliance	SoB	Servants of the Betrayer	6	4, Flip Obora -> When you play an ability this turn, draw a card.	u						25	None												Draenei	Mage		Arcane				Jewelcrafting	Tailoring	2	obora_the_wise			0	Howard Lyon	"This is Draenor, our home. We must reclaim it from those who would corrupt it."	0	1
3288	Omedus the Punisher	Hero	Horde	HoA	Heroes of Azeroth	12	3, Flip Omedus -> Omedus deals shadow damage to target hero equal to 7 minus the number of cards in its controller's hand.	u						26	None												Undead	Priest		Shadow				Alchemy	Herbalism	1	omedus_the_punisher			0	Jeff Miracola	In life, Omedus was a handsome scholar. The plague was not kind to him.	0	1
3289	Ona Skyshot	Hero	Horde	FoO	Fires of Outland	16	2, Flip Ona Skyshot -> Ready target Ranged weapon.	u						29	None												Tauren	Hunter		Marksmanship				Engineering	Jewelcrafting	1	ona_skyshot			0	Christopher Moeller	"The best offense?" The best defense? Frankly, I'd like both at my disposal."	0	1
3290	Overseer Savryn	Hero	Neutral	ICE	Icecrown	7	On your turn: Flip Savryn, remove a Rogue in your graveyard from the game -> This turn, melee weapons you control have <b>Assault 1</b>, and combat damage your hero would deal is unpreventable.;;<b>Deckbuilding:</b> You can only include either [Alliance] or [Horde] cards, [Rogue] cards, [Rogue] Combat Talents, neutral cards, and Scourge cards. You can't include cards with reputations or other text restrictions.	u						27	None												Human	Rogue		Combat	Scourge					4	overseer_savryn			0	Kev Walker		0	1
3291	Ozzati	Hero	Alliance	FoO	Fires of Outland	6	4, Flip Ozzati -> Ozzati deals 1 fire damage to each opposing hero and ally. Use only on your turn.	u						25	None												Draenei	Mage		Fire				Enchanting	Jewelcrafting	1	ozzati			0	James Zhang	"Let their souls be cleansed in the searing light of the naaru."	0	1
3292	Pagatha Soulbinder	Hero	Horde	TDP	Through the Dark Portal	18	5, Flip Pagatha Soulbinder -> Interrupt target ally card.	u						28	None												Undead	Warlock		Destruction				Mining	Engineering	1	pagatha_soulbinder	Archive		0	Steve Tappin	"Do you have the courage to seize what you desire? Are you willing to do whatever you must to achieve your goals?"	0	1
3293	Peter Hottelet	Hero	Alliance	WBR	Worldbreaker	8	FRONT: 4 -> Flip Peter. BACK: When you strike with a Melee weapon, you may add a +1 ATK counter to it.	u						30	None												Human	Warrior		Arms						5	peter_hottelet			0	Chris Rahn	"I don't mind if my skull ends up on a shelf as long as it's got my name on it."	0	1
3294	Phadalus the Enlightened	Hero	Alliance	TDP	Through the Dark Portal	4	3, Flip Phadalus -> Put a Totem card from your graveyard into your hand. Use only on your turn.	u						28	None												Draenei	Shaman		Restoration				Engineering	Jewelcrafting	1	phadalus_the_enlightened	Archive		0	Glenn Rane	"For so long, we knew only the ways of the Light. How wondrous it is to discover that nature itself can speak!"	0	1
3295	Phosphus the Everburning	Hero	Horde	HfI	Hunt For Illidan	13	4, Flip Phosphus -> Choose one: Phosphus deals 4 fire damage to target ally; or Phosphus deals 2 fire damage to each of two target allies.; Use only on your turn.	u						28	None												Undead	Mage		Fire				Engineering	Tailoring	2	phosphus_the_everburning			0	Alex Horley	"I like mine pink in the center&hellip;and blackened."	0	1
3296	Pidge Filthfinder	Hero	Alliance	DoW	Drums Of War	5	On your turn: 4, Flip Pidge -> Look at target player's hand and remove a card in it from the game.	u						25	None												Gnome	Warlock		Demonology				Engineering	Jewelcrafting	3	pidge_filthfinder	Archive		0	Dan Scott	"Secrets are for sharing."	0	1
3297	Plague Demonsoul	Hero	Horde	SoB	Servants of the Betrayer	33	2, Flip Plague -> If a Demon in your party would be dealt damage this turn, it's dealt to Plague instead.; Shadowsworn	u						28	None												Undead	Warlock		Traitor				Mining	Engineering	2	plague_demonsoul			0	Jim Murray		0	1
3298	Plague Fleshbane	Hero	Horde	SoB	Servants of the Betrayer	24	2, Flip Plague -> If Plague would be dealt damage this turn, you may choose a Demon in your party. If you do, that damage is dealt to that Demon instead.	u						28	None												Undead	Warlock		Demonology				Mining	Engineering	2	plague_fleshbane			0	Jim Murray	"The Legion are mere pawns in the greater game."	0	1
3299	Prometha	Hero	Alliance	SW	ScourgeWar	7	If you control another Shaman: Flip -->Prometha Ready target Melee Weapon.	u						28	None												Draenei	Shaman		Enhancement				Leatherworking	Jewelcrafting	4	prometha			0	Raymond Swanland		0	1
3300	Queen Angerboda	Hero	Neutral	ICE	Icecrown	8	Flip Angerboda, remove a Mage in your graveyard from the game -> Target ally can't attack this turn.;;<b>Deckbuilding:</b> You can only include either [Alliance] or [Horde] cards, [Mage] cards, [Mage] Frost talents, neutral cards, and Scourge cards. You can't include cards with reputations or other text restrictions.	u						25	None												Vrykul	Mage		Frost	Scourge					4	queen_angerboda			0	Kev Walker		0	1
3301	Radak Doombringer	Hero	Horde	HoA	Heroes of Azeroth	13	X, Flip Radak Doombringer, destroy one of your Pets with cost X -> Radak deals X shadow damage to target hero or ally. Use only on your turn.	u						28	None												Orc	Warlock		Demonology				Engineering	Mining	1	radak_doombringer			0	Greg Staples	Azeroth's darkest places offer great rewards to those willing to traverse them.	0	1
3302	Raesa Morningstar	Hero	Horde	FoO	Fires of Outland	17	2, Flip Raesa Morningstar -> Put target ability into its owner's hand. Use only on your turn.	u						26	None												Blood Elf	Priest		Discipline				Enchanting	Alchemy	1	raesa_morningstar			0	Mark Zug	"The Light sustains us, and it will ease even the heaviest of burdens. To think it has abandoned us is pure folly."	0	1
3303	Randolphe Mortimer	Hero	Alliance	DKS	Death Knight Starter	1	3, Flip Randolphe -> Each opposing hero and ally has -1 ATK this turn for each damage on it.	u						29	None												Human	Death Knight		Frost				Mining	Jewelcrafting	3	randolphe_mortimer	Naxxramas Treasure		0	Josh Tallman		0	1
3304	Ravenna	Hero	Horde	HfI	Hunt For Illidan	14	Flip Ravenna -> Target ally in your party has <b>Stealth</b> this turn.	u						27	None												Blood Elf	Rogue		Subtlety				Mining	Alchemy	4	ravenna	Class Starter Deck 2010	CD1	0	Vance Kovacs	"That's the thing about odds - they're always changing."	0	1
3305	Rekwa Proudhorn	Hero	Horde	WBR	Worldbreaker	16	FRONT: 2 -> Flip Rekwa. BACK: Damage that Rekwa and allies you control would deal is unpreventable.	u						30	None												Tauren	Paladin		Retribution						5	rekwa_proudhorn			0	Mark Zug	"The Destroyer has returned, and I have turned to the Sun for guidance."	0	1
3306	Remba, Abbess of Ash	Hero	Alliance	SoB	Servants of the Betrayer	18	4, Flip Remba -> Gain control of target ally with an attachment. Use only on your turn.; Shadowforge	u						26	None												Dwarf	Priest		Traitor				Alchemy	Tailoring	2	remba_abbess_of_ash			0	Dan Scott		0	1
3307	Ressa Shadeshine	Hero	Alliance	SoB	Servants of the Betrayer	7	2, Flip Ressa -> Ressa deals melee damage to target ally equal to the ATK of one of your weapons.	u						27	None												Gnome	Rogue		Combat				Engineering	Leatherworking	2	ressa_shadeshine			0	Matt Cavotta	"Well, fancy stunning into you here, of all places."	0	1
3308	Ressa the Leper Queen	Hero	Alliance	SoB	Servants of the Betrayer	16	3, Flip Ressa -> Target player destroys one of his equipment.; Leper Gnome	u						27	None												Gnome	Rogue		Traitor				Engineering	Leatherworking	2	ressa_the_leper_queen			0	Matt Cavotta		0	1
3309	Riley Sizzleswitch	Hero	Alliance	SW	ScourgeWar	8	If you control another Mage: Flip Riley -> Riey deals 2 fire damage to target ally.	u						25	None												Gnome	Mage		Fire				Tailoring	Engineering	4	riley_sizzleswitch			0	Dan Scott		0	1
3310	Rimblat Earthshatter	Hero	Neutral	ICE	Icecrown	4	<b>Argent Crusade Reputation</b>;Flip Rimblat, remove a Shaman in your graveyard from the game -> Destroy target ability that's not attached to a friendly card.;;<b>Deckbuilding:</b> You can only include either [Alliance] or [Horde] cards, [Shaman] cards, [Shaman] Elemental Talents, neutral cards, and Argent Crusade cards. You can't include cards with other reputations or other text restrictions.	u						29	None												Tauren	Shaman		Elemental						4	rimblat_earthshatter			0	John Polidora		0	1
3311	Ringleader Kuma	Hero	Horde	HfI	Hunt For Illidan	15	4, Flip Kuma -> Heroes and allies in your party have +2 ATK while attacking heroes this turn.	u						29	None												Tauren	Shaman		Enhancement				Skinning	Leatherworking	2	ringleader_kuma			0	James Zhang	"Listen to the whispers of your ancestors. They lust for blood!"	0	1
3312	Rinni Gloomtrik	Hero	Alliance	WG	Wrathgate	8	On your turn: Flip Rinni Gloomtrik, discard a Warlock -> Rinni deals 1 shadow damage to target hero or ally. When that character is destroyed this turn, it's controller discards a card.	u						28	None												Gnome	Warlock		Destruction				Blacksmithing	Inscription	4	rinni_gloomtrik			0	Ittoku Seta		0	1
3313	Rordag the Sly	Hero	Alliance	SW	ScourgeWar	9	If you control another Rogue: Flip Rordag -> Target hero or ally can't ready during its controller's next ready step.	u						27	None												Dwarf	Rogue		Subtlety				Leatherworking	Jewelcrafting	4	rordag_the_sly			0	Jim Nelson		0	1
3314	Rotun Daggerhand	Hero	Alliance	FoO	Fires of Outland	7	3, Flip Rotun Daggerhand -> Rotun deals 1 melee damage to target hero or ally. That damage counts as combat damage.	u						27	None												Dwarf	Rogue		Combat				Mining	Jewelcrafting	1	rotun_daggerhand			0	Ben Young	"My father always said, 'A blade with blood not yet tasted is a blade that has surely been wasted.' He was a better rogue than a poet."	0	1
3315	Ruby Gemsparkle	Hero	Alliance	TDP	Through the Dark Portal	5	5, Flip Ruby Gemsparkle -> Draw two cards.	u						25	None												Gnome	Mage		Arcane				Jewelcrafting	Tailoring	1	ruby_gemsparkle			0	Ron Spears	She's a twenty-four karat, multifaceted, magical powerhouse.	0	1
3316	Runetusk	Hero	Horde	SoB	Servants of the Betrayer	25	2, Flip Runetusk -> Target opponent discards a card. Use only on your turn.	u						26	None												Troll	Priest		Shadow				Herbalism	Alchemy	2	runetusk			0	Greg Staples	"Don't go too far into da shadow, mon, or joo won't make it out."	0	1
3317	Ryno the Wicked	Hero	Alliance	FoH	Fields of Honor	8	On your turn: 2, Flip Ryno -> Put a Felhunter Demon ally token into play with 1 [Melee] ATK / 1 health and Pet (1).	u						28	None												Gnome	Warlock		Destruction				Herbalism	Tailoring	3	ryno_the_wicked			0	Dan Scott		0	1
3318	Saeryn Dusksorrow	Hero	Horde	DKS	Death Knight Starter	2	3, Flip Saeryn -> Put target weapon card from your graveyard into hand.	u						29	None												Blood Elf	Death Knight		Blood				Herbalism	Inscription	3	saeryn_dusksorrow			0	Wayne Reynolds		0	1
3319	Sarina the Immaculate	Hero	Alliance	WG	Wrathgate	9	On your turn: Flip Sarina, discard a Paladin -> Sarina heals 5 damage from target hero or ally.	u						29	None												Human	Paladin		Holy				Skinning	Tailoring	4	sarina_the_immaculate			0	Zoltan Boros and Gabor Szikszai		0	1
3320	Savin Lightguard	Hero	Alliance	TDP	Through the Dark Portal	6	6, Flip Savin Lightguard -> Destroy all allies that dealt combat damage to Savin this turn.	u						29	None												Dwarf	Paladin		Retribution				Mining	Blacksmithing	1	savin_lightguard			0	Boros-Szikszai	Those who underestimate the power of the Light do so only once.	0	1
3321	Savitir Skullsmasher	Hero	Horde	BoG	Blood Of Gladiators	14	1, Flip Savitir -> If Savitir has <b>Stealth</b>, destroy target exhausted equipment.	u						27	None												Orc	Rogue		Subtlety				Blacksmithing	Engineering	3	savitir_skullsmasher			0	Michael Komarck		0	1
3322	Seadog Nally	Hero	Alliance	SoB	Servants of the Betrayer	17	2, Flip Nally, destroy a friendly ally Nally deals ranged damage to target ally equal to that friendly ally's ATK.; Southsea Freebooters	u						28	None												Dwarf	Hunter		Traitor				Herbalism	Skinning	2	seadog_nally			0	Jim Nelson		0	1
3323	Sen'zir Beastwalker	Hero	Horde	HoA	Heroes of Azeroth	14	3, Flip Sen'zir Beastwalker -> Put a Pet card from your graveyard into your hand.	u						28	None												Troll	Hunter		Beast Mastery				Skinning	Leatherworking	4	senzir_beastwalker	Class Starter Deck 2010	CD1	0	Dan Brereton	Vicious and cunning; like hunter, like pet.	0	1
3324	Sepirion the Poised	Hero	Horde	FoH	Fields of Honor	16	3, Flip Sepirion -> Ready Sepirion and one of your weapons.	u						28	None												Troll	Shaman		Enhancement				Engineering	Jewelcrafting	3	sepirion_the_poised			0	Alex Horley		0	1
3325	Shaii, Strategist Supreme	Hero	Alliance	DoW	Drums Of War	6	If Shaii is defending: [Exhaust], Flip Shaii -> Shaii deals 1 melee damage to target attacker.	u						28	None												Night Elf	Hunter		Survival				Engineering	Jewelcrafting	3	shaii_strategist_supreme			0	Jonboy Meyers	"Of course I saw you coming. How else could you have gotten so dangerously close?"	0	1
3326	Shalu Stormshatter	Hero	Horde	DoW	Drums Of War	14	3, Flip Shalu -> Destroy target ability that's not attached to a friendly hero or ally.	u						28	None												Orc	Shaman		Elemental				Alchemy	Engineering	3	shalu_stormshatter			0	Dan Scott	"Step through the storm and discover your true worth."	0	1
3327	Sharpeye Yan'ja	Hero	Horde	BoG	Blood Of Gladiators	15	On your turn: 2, Flip Yan'ja -> Yan'ja deals ranged damage to target ally equal to 1 plus the combined ATK of your Ranged weapons.	u						28	None												Troll	Hunter		Marksmanship				Herbalism	Alchemy	3	sharpeye_yanja			0	Daren Bader		0	1
3328	Sharpshooter Nally	Hero	Alliance	SoB	Servants of the Betrayer	8	3, Flip Nally -> Target hero or ally has <b>Long-Range</b> this turn.	u						28	None												Dwarf	Hunter		Marksmanship				Herbalism	Skinning	2	sharpshooter_nally			0	Jim Nelson	"Aye, soon your shots will be as good as mine."	0	1
3329	Sinthya Flabberghast	Hero	Horde	DoW	Drums Of War	15	3, Flip Sinthya -> When Sinthya next deals combat damage to a hero or ally this turn, she also deals that much melee damage to a second target hero or ally.	u						27	None												Undead	Rogue		Combat				Engineering	Jewelcrafting	3	sinthya_flabberghast			0	Dave Kendall	"I hope you brought more friends."	0	1
3330	Sister Remba	Hero	Alliance	SoB	Servants of the Betrayer	9	1, Flip Remba -> Target ally in your party with an attachment is <b>Elusive</b> and <b>Untargetable</b> this turn.	u						26	None												Dwarf	Priest		Discipline				Alchemy	Tailoring	2	sister_remba			0	Dan Scott	"We must remember the debts we owe to those who came before us, and spread their knowledge to all who will listen."	0	1
3331	Skumm the Pillager	Hero	Horde	FoH	Fields of Honor	17	On your turn: 3, Flip Skumm -> Turn target resource face down.	u						27	None												Troll	Rogue		Assassination				Mining	Alchemy	3	skumm_the_pillager			0	Ken Kai		0	1
3332	Souldrinker Bogmara	Hero	Horde	SW	ScourgeWar	16	If you control another Warlock: Flip Bogmara -> Bogmara deals 1 shadow damage to target hero or ally and heals 1 damage from herself.	u						28	None												Orc	Warlock		Affliction				Tailoring	Inscription	4	souldrinker_bogmara			0	Clint Langley		0	1
3333	Spellweaver Jihan	Hero	Alliance	DoW	Drums Of War	7	Flip Jihan -> The next time Jihan would deal damage with an ability this turn, she deals that much +1 instead.	u						25	None												Human	Mage		Arcane				Enchanting	Tailoring	3	spellweaver_jihan			0	James Ryman	"The tapestries of magic are at my fingertips."	0	1
3334	Spiritualist Sunshroud	Hero	Horde	DoW	Drums Of War	16	On your turn: 3, Flip Sunshroud -> Target player destroys an ally in his party.	u						26	None												Blood Elf	Priest		Shadow				Engineering	Jewelcrafting	3	spiritualist_sunshroud			0	Brandon Kitkouski	"We all begin in darkness - some of us just never leave it."	0	1
3335	Spiritwalker Kavi'je	Hero	Horde	WG	Wrathgate	18	Flip Kavi'je, discard a Shaman -> You pay 2 less to play your next totem this turn.	u						28	None												Troll	Shaman		Retribution				Blacksmithing	Mining	4	spiritwalker_kavije			0	Clint Langley		0	1
3336	Statia the Preserver	Hero	Alliance	BoG	Blood Of Gladiators	9	2, Flip Statia -> Prevent all damage that would be dealt to target Totem this turn.	u						28	None												Draenei	Shaman		Restoration				Mining	Blacksmithing	3	statia_the_preserver			0	rk post		0	1
3337	Sunstalker Andora	Hero	Horde	WG	Wrathgate	19	On your turn: Flip Andora, discard a Rogue -> When target ally is dealt damage this turn, destroy it.	u						27	None												Blood Elf	Rogue		Assassination				Inscription	Tailoring	4	sunstalker_andora			0	Massive Black		0	1
3338	Suvok Frozeneye	Hero	Horde	WBR	Worldbreaker	17	FRONT: 4 -> Flip Suvok. BACK: At the start of your turn, Suvok deals 1 frost damage to target opposing ready ally.	u						25	None												Orc	Mage		Frost						5	suvok_frozeneye			0	Paul Warzecha	"Cower before the might of the Horde and the new Warchief, Garrosh Hellscream!"	0	1
3339	Syreian the Bonecarver	Hero	Neutral	ICE	Icecrown	9	Flip Syreian, remove a Hunter in your graveyard from the game -> Ready target Pet.;;<b>Deckbuilding:</b> You can only include either [Alliance] or [Horde] cards, [Hunter] cards, [Hunter] Beast Mastery Talents, neutral cards, and Scourge cards. You can't include cards with reputations or other text restrictions.	u						28	None												Vrykul	Hunter		Beast Mastery	Scourge					4	syreian_the_bonecarver			0	Jesper Ejsing		0	1
3340	Tahanu Brinkrunner	Hero	Horde	HfI	Hunt For Illidan	16	4, Flip Tahanu -> Put target ally card from your graveyard into hand.	u						28	None												Tauren	Druid		Restoration				Enchanting	Jewelcrafting	2	tahanu_brinkrunner			0	Zoltan Boros and Gabor Szikszai	"Not yet&hellip; not yet&hellip;"	0	1
3341	Taheo Skyspeaker	Hero	Horde	MoL	March of the Legion	16	4, Flip Taheo -> Choose one: Taheo deals 3 nature damage to target hero or ally; or Taheo heals 6 damage from target hero or ally. Use only on your turn.	u						28	None												Tauren	Druid		Balance				Skinning	Enchanting	2	taheo_skyspeaker	Archive		0	Boros-Szikszai		0	1
3342	Ta'zo	Hero	Horde	HoA	Heroes of Azeroth	15	3, Flip Ta'zo -> Ta'zo deals 3 fire damage to target hero or ally. Use only on your turn.	u						25	None												Troll	Mage		Fire				Enchanting	Tailoring	4	tazo	Class Starter Deck 2010,Archive	CD1	0	Ariel Olivetti	"You play wit da fire, mon, you gonna get da burn!"	0	1
3343	Teina Cloudstalker	Hero	Horde	SW	ScourgeWar	17	If you control another Druid: Flip Teina -> Teina has +1 ATK while attacking this turn	u						28	None												Tauren	Druid		Feral				Leatherworking	Inscription	4	teina_cloudstalker			0	James Ryman		0	1
3344	Telrander	Hero	Alliance	TDP	Through the Dark Portal	7	3, Flip Telrander -> Ready Telrander. ; Use only while he's in cat form.	u						27	None												Night Elf	Druid		Feral				Skinning	Leatherworking	1	telrander			0	Alex Horley	"Prowling about the shadows isn't the exclusive territory of rogues. I make sure of that."	0	1
3345	Thaka Deadeye	Hero	Horde	WG	Wrathgate	20	Flip Thaka, discard a Hunter -> Ready up to two resources you control.	u						28	None												Orc	Hunter		Survival				Inscription	Tailoring	4	thaka_deadeye			0	Fred Fields		0	1
